x,y,z
937,1328,1663
1147,1134,1571
1160,1264,1356
1022,1474,1320
1431,1416,925
2027,627,635
2070,889,-1062
1444,-397,-413
1278,597,-522
1405,430,805
1327,546,810
1355,520,662
1692,504,1044
1417,471,783
1981,596,1040
1934,828,-1084
1862,1050,222
1855,254,836
1675,19,1376
1193,-319,-1046
1301,-354,-1317
993,-280,635
1153,254,238
1481,361,834
1526,689,-337
1743,545,-1246
1573,523,134
1261,1639,637
1393,1853,860
1425,2051,601
1085,1105,1259
1390,954,-498
1293,1466,202
1384,1321,1137
1629,920,-1027
1700,830,-1200
1850,826,-1204
1250,745,-592
1288,-353,-914
1376,901,-312
1353,573,-771
1581,511,955
1567,588,-952
1149,798,-160
1501,1234,50
1332,1441,704
1270,1714,483
1522,1336,1072
1647,750,-436
1613,389,-879
1760,851,-222
1558,1097,721
1646,447,39
1148,1497,456
1472,867,-498
1632,738,-1100
1710,723,-1282
1272,677,-911
1646,698,-1282
1398,636,-1091
